coarse_cell_id	landuse	restored_ha
13532	ForestDryPoor	1.23000000
13543	ForestDryPoor	2.98000000
13826	ForestDryPoor	2.60000000
13842	ForestDryPoor	3.39000000
14119	ForestDryPoor	3.80000000
14120	ForestDryPoor	3.68000000
14121	ForestDryPoor	1.94000000
14416	ForestDryPoor	1.29000000
15005	ForestDryPoor	3.70000000
15018	ForestDryPoor	3.79000000
15300	ForestDryPoor	3.00000000
15308	ForestDryPoor	1.74000000
15594	ForestDryPoor	3.05000000
15595	ForestDryPoor	2.10000000
15603	ForestDryPoor	2.79000000
15612	ForestDryPoor	1.77000000
15888	ForestDryPoor	2.65000000
15889	ForestDryPoor	3.05000000
15890	ForestDryPoor	2.65000000
15906	ForestDryPoor	2.93000000
16183	ForestDryPoor	3.55000000
16184	ForestDryPoor	1.55000000
16191	ForestDryPoor	3.00000000
16201	ForestDryPoor	2.99000000
16476	ForestDryPoor	1.63000000
16477	ForestDryPoor	1.64000000
16478	ForestDryPoor	2.66000000
16479	ForestDryPoor	1.52000000
16486	ForestDryPoor	2.92000000
16773	ForestDryPoor	2.94000000
16774	ForestDryPoor	1.69000000
16781	ForestDryPoor	2.84000000
16784	ForestDryPoor	3.76000000
16790	ForestDryPoor	1.80000000
17065	ForestDryPoor	3.65000000
17068	ForestDryPoor	3.30000000
17069	ForestDryPoor	3.32000000
17076	ForestDryPoor	2.80000000
17362	ForestDryPoor	3.64000000
17363	ForestDryPoor	3.17000000
17364	ForestDryPoor	3.50000000
17365	ForestDryPoor	1.15000000
17374	ForestDryPoor	3.73000000
17658	ForestDryPoor	3.76000000
17659	ForestDryPoor	3.78000000
17660	ForestDryPoor	3.47000000
17661	ForestDryPoor	1.19000000
17666	ForestDryPoor	2.68000000
17955	ForestDryPoor	2.63000000
17961	ForestDryPoor	2.60000000
18256	ForestDryPoor	2.60000000
18551	ForestDryPoor	2.44000000
18552	ForestDryPoor	3.87000000
18842	ForestDryPoor	3.16000000
18846	ForestDryPoor	2.39000000
18847	ForestDryPoor	3.83000000
19137	ForestDryPoor	4.00000000
19141	ForestDryPoor	3.25000000
19142	ForestDryPoor	4.00000000
19143	ForestDryPoor	2.84000000
19144	ForestDryPoor	3.00000000
19432	ForestDryPoor	4.00000000
19433	ForestDryPoor	1.89000000
19438	ForestDryPoor	1.03000000
19439	ForestDryPoor	1.46000000
19727	ForestDryPoor	4.00000000
19728	ForestDryPoor	2.20000000
19732	ForestDryPoor	3.12000000
19733	ForestDryPoor	3.76000000
20021	ForestDryPoor	3.48000000
20022	ForestDryPoor	3.85000000
20023	ForestDryPoor	1.87000000
20027	ForestDryPoor	2.78000000
20028	ForestDryPoor	3.67000000
20029	ForestDryPoor	3.03000000
20315	ForestDryPoor	3.12000000
20316	ForestDryPoor	1.22000000
20317	ForestDryPoor	1.44000000
20322	ForestDryPoor	2.74000000
20323	ForestDryPoor	3.30000000
20324	ForestDryPoor	4.00000000
20325	ForestDryPoor	1.45000000
20606	ForestDryPoor	3.00000000
20611	ForestDryPoor	3.67000000
20612	ForestDryPoor	3.14000000
20613	ForestDryPoor	1.64000000
20617	ForestDryPoor	2.10000000
20618	ForestDryPoor	3.14000000
20619	ForestDryPoor	3.92000000
20620	ForestDryPoor	3.62000000
20907	ForestDryPoor	3.86000000
20908	ForestDryPoor	2.15000000
20913	ForestDryPoor	3.94000000
20914	ForestDryPoor	3.69000000
20915	ForestDryPoor	4.00000000
20916	ForestDryPoor	3.55000000
20917	ForestDryPoor	2.69000000
21199	ForestDryPoor	3.26000000
21203	ForestDryPoor	1.54000000
21210	ForestDryPoor	3.49000000
21211	ForestDryPoor	3.99000000
21492	ForestDryPoor	2.62000000
21498	ForestDryPoor	1.65000000
21503	ForestDryPoor	1.83000000
21505	ForestDryPoor	3.98000000
21506	ForestDryPoor	3.61000000
21509	ForestDryPoor	3.92000000
21787	ForestDryPoor	2.95000000
21789	ForestDryPoor	3.77000000
21790	ForestDryPoor	3.75000000
21798	ForestDryPoor	1.98000000
21801	ForestDryPoor	4.00000000
21804	ForestDryPoor	3.68000000
21805	ForestDryPoor	3.60000000
22083	ForestDryPoor	3.69000000
22084	ForestDryPoor	3.86000000
