network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,p_90840,c_94521,0.02,p,c,90840,94521
Global,c_94521,p_91233,1116.1000000000006,c,p,94521,91233
Global,p_91233,c_95111,1117.8200000000006,p,c,91233,95111
Global,c_95111,c_95406,1119.4000000000005,c,c,95111,95406
Global,c_95406,c_95701,1120.5000000000005,c,c,95406,95701
Global,c_95701,p_92010,1123.0000000000005,c,p,95701,92010
Global,p_92003,c_95995,0.82,p,c,92003,95995
Global,p_92010,c_95995,1123.9600000000005,p,c,92010,95995
Global,c_95995,c_96290,1126.4800000000005,c,c,95995,96290
Global,c_96290,c_96289,1130.0400000000004,c,c,96290,96289
Global,p_92094,c_96289,0.75,p,c,92094,96289
Global,p_92099,c_96289,0.01,p,c,92099,96289
Global,c_96289,c_96584,1133.7300000000005,c,c,96289,96584
Global,c_96584,c_96583,1137.3500000000004,c,c,96584,96583
Global,c_96583,c_96582,1140.6300000000003,c,c,96583,96582
Global,c_96582,p_92319,1143.6400000000003,c,p,96582,92319
Global,p_90811,c_94508,0.03,p,c,90811,94508
Global,p_92319,c_94508,1209.4600000000003,p,c,92319,94508
Global,c_94508,p_91348,1211.0200000000002,c,p,94508,91348
Global,p_91348,c_95096,1215.4500000000003,p,c,91348,95096
Global,c_95096,c_95095,1218.1000000000004,c,c,95096,95095
Global,c_95095,c_95094,1221.1100000000004,c,c,95095,95094
Global,c_95094,c_95093,1224.5800000000004,c,c,95094,95093
Global,c_95093,c_94798,1228.0100000000004,c,c,95093,94798
Global,c_94798,c_94797,1231.2800000000004,c,c,94798,94797
Global,p_91061,c_94797,0.02,p,c,91061,94797
Global,p_91075,c_94797,0.01,p,c,91075,94797
Global,p_91076,c_94797,8.37,p,c,91076,94797
Global,p_91092,c_94797,1.28,p,c,91092,94797
Global,c_94797,p_91733,1242.0100000000002,c,p,94797,91733
Global,p_91732,c_95678,0.01,p,c,91732,95678
Global,p_91733,c_95678,1271.9900000000002,p,c,91733,95678
Global,p_91797,c_95678,1.21,p,c,91797,95678
Global,c_95678,c_95973,1274.7500000000002,c,c,95678,95973
Global,p_91864,c_95973,0.85,p,c,91864,95973
Global,c_95973,c_96268,1278.89,c,c,95973,96268
Global,c_96268,p_93353,1281.3700000000001,c,p,96268,93353
Global,p_93196,c_97739,0.04,p,c,93196,97739
