network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	108079	1.56000000	1.56000000
Global	108367	1.37000000	1.37000000
Global	108369	2.96000000	2.96000000
Global	108374	1.37000000	1.37000000
Global	108659	3.81000000	3.81000000
Global	108660	2.38000000	2.38000000
Global	108662	2.32000000	2.32000000
Global	108663	1.27000000	1.27000000
Global	108666	1.11000000	1.11000000
Global	108667	1.68000000	1.68000000
Global	108668	1.66000000	1.66000000
Global	108954	3.94000000	3.94000000
Global	108955	2.78000000	2.78000000
Global	108956	1.76000000	1.76000000
Global	108957	2.44000000	2.44000000
Global	108958	2.07000000	2.07000000
Global	108962	2.38000000	2.38000000
Global	109248	3.22000000	3.22000000
Global	109249	1.74000000	1.74000000
Global	109250	2.34000000	2.34000000
Global	109251	2.51000000	2.51000000
Global	109252	1.90000000	1.90000000
Global	109253	3.18000000	3.18000000
Global	109254	2.97000000	2.97000000
Global	109255	1.41000000	1.41000000
Global	109257	2.64000000	2.64000000
Global	109541	3.86000000	3.86000000
Global	109543	2.95000000	2.95000000
Global	109546	2.46000000	2.46000000
Global	109547	3.56000000	3.56000000
Global	109548	3.61000000	3.61000000
Global	109836	1.57000000	1.57000000
Global	109837	3.73000000	3.73000000
Global	109838	3.04000000	3.04000000
Global	109839	2.02000000	2.02000000
Global	109841	2.02000000	2.02000000
Global	109842	2.34000000	2.34000000
Global	109843	3.01000000	3.01000000
Global	110132	3.22000000	3.22000000
Global	110133	3.76000000	3.76000000
Global	110134	3.28000000	3.28000000
Global	110135	1.98000000	1.98000000
Global	110136	1.29000000	1.29000000
Global	110138	3.16000000	3.16000000
Global	110139	2.52000000	2.52000000
Global	110429	3.32000000	3.32000000
Global	110433	1.99000000	1.99000000
Global	110723	2.72000000	2.72000000
Global	110724	2.29000000	2.29000000
Global	110727	1.64000000	1.64000000
Global	111018	2.78000000	2.78000000
Global	111021	1.30000000	1.30000000
Global	111022	1.09000000	1.09000000
Global	111023	2.12000000	2.12000000
Global	111312	3.77000000	3.77000000
Global	111313	2.59000000	2.59000000
Global	111318	2.34000000	2.34000000
Global	111607	2.77000000	2.77000000
Global	111608	1.42000000	1.42000000
Global	111609	3.33000000	3.33000000
Global	111613	1.84000000	1.84000000
Global	111900	1.59000000	1.59000000
Global	111901	1.63000000	1.63000000
Global	112193	2.63000000	2.63000000
Global	112194	3.38000000	3.38000000
Global	112195	3.49000000	3.49000000
Global	112196	2.63000000	2.63000000
Global	112487	2.27000000	2.27000000
Global	112488	1.84000000	1.84000000
Global	112490	1.88000000	1.88000000
Global	112779	2.55000000	2.55000000
Global	112780	3.76000000	3.76000000
Global	112781	3.66000000	3.66000000
Global	112782	1.09000000	1.09000000
Global	113077	2.74000000	2.74000000
Global	113371	1.19000000	1.19000000
Global	113665	1.39000000	1.39000000
Global	113666	2.00000000	2.00000000
Global	113959	2.37000000	2.37000000
Global	113960	1.07000000	1.07000000
Global	113961	2.45000000	2.45000000
Global	114250	3.08000000	3.08000000
Global	114255	2.50000000	2.50000000
Global	114545	3.80000000	3.80000000
Global	114550	2.16000000	2.16000000
Global	114551	3.84000000	3.84000000
Global	114552	3.13000000	3.13000000
Global	114840	2.86000000	2.86000000
Global	114841	3.66000000	3.66000000
Global	114842	3.65000000	3.65000000
Global	114846	1.84000000	1.84000000
