network_name,coarse_cell_id
Subarea2,87413
Subarea2,87414
Subarea2,87415
Subarea2,87416
Subarea2,87417
Subarea2,87418
Subarea2,87419
Subarea2,87420
Subarea2,87421
Subarea2,87423
Subarea2,87424
Subarea2,87425
Subarea2,87427
Subarea2,87428
Subarea2,87705
Subarea2,87707
Subarea2,87711
Subarea2,87712
Subarea2,87713
Subarea2,87714
Subarea2,87715
Subarea2,87716
Subarea2,87717
Subarea2,87718
Subarea2,87719
Subarea2,87720
Subarea2,87722
Subarea2,87723
Subarea2,88003
Subarea2,88008
Subarea2,88009
Subarea2,88010
Subarea2,88011
Subarea2,88012
Subarea2,88013
Subarea2,88014
Subarea2,88015
Subarea2,88018
Subarea2,88304
Subarea2,88305
Subarea2,88306
Subarea2,88307
Subarea2,88308
Subarea2,88309
Subarea2,88310
Subarea2,88600
Subarea2,88601
Subarea2,88602
Subarea2,88603
Subarea2,88604
Subarea2,88605
Subarea2,88606
Subarea2,88895
Subarea2,88896
Subarea2,88897
Subarea2,88898
Subarea2,88899
Subarea2,88900
Subarea2,88901
Subarea2,89191
Subarea2,89192
Subarea2,89194
Subarea2,89195
Subarea2,89196
Subarea2,89486
Subarea2,89487
Subarea2,89489
Subarea2,89490
Subarea2,89491
Subarea2,89782
Subarea2,89783
Subarea2,89784
Subarea2,89785
Subarea2,89786
Subarea2,89787
Subarea2,90077
Subarea2,90078
Subarea2,90079
Subarea2,90080
Subarea2,90081
Subarea2,90082
Subarea2,90372
Subarea2,90373
Subarea2,90374
Subarea2,90375
Subarea2,90376
Subarea2,90377
Subarea2,90378
Subarea2,90379
Subarea2,90380
Subarea2,90382
Subarea2,90383
Subarea2,90384
Subarea2,90385
Subarea2,90386
Subarea2,90667
Subarea2,90668
Subarea2,90669
Subarea2,90670
Subarea2,90671
Subarea2,90672
Subarea2,90673
Subarea2,90674
Subarea2,90675
Subarea2,90676
Subarea2,90677
Subarea2,90678
Subarea2,90679
Subarea2,90680
Subarea2,90681
Subarea2,90682
Subarea2,90974
Subarea2,90975
Subarea2,90976
Subarea2,90977
Subarea2,91270
Subarea2,91271
Subarea2,91272
Subarea2,91566
Subarea2,91567
Subarea2,91861
Subarea2,91862
Subarea2,92156
Subarea2,92157
Subarea2,92451
Subarea2,92452
Subarea2,92747
Subarea2,93042
Subarea2,93043
Subarea2,93044
Subarea2,93045
Subarea2,93046
Subarea2,93053
Subarea2,93338
Subarea2,93339
Subarea2,93343
Subarea2,93348
Subarea2,93636
Subarea2,93637
Subarea2,93638
Subarea2,93639
Subarea2,93640
Subarea2,93933
Subarea2,93934
Subarea2,93935
Subarea2,93936
Subarea2,94231
Subarea2,94232
Subarea3,29390
Subarea3,29393
Subarea3,29394
Subarea3,29685
Subarea3,29688
Subarea3,29689
Subarea3,29690
Subarea3,29691
Subarea3,29981
Subarea3,29982
Subarea3,30271
Subarea3,30272
Subarea3,30273
Subarea3,30274
Subarea3,30276
Subarea3,30566
Subarea3,30568
Subarea3,30569
Subarea3,30859
Subarea3,30860
Subarea3,30861
Subarea3,30863
Subarea3,31156
Subarea3,31158
Subarea3,31160
Subarea3,31165
Subarea3,31166
Subarea3,31450
Subarea3,31451
Subarea3,31452
Subarea3,31453
Subarea3,31454
Subarea3,31455
Subarea3,31456
Subarea3,31746
Subarea3,31747
Subarea3,31748
Subarea3,31749
Subarea3,31750
Subarea3,31751
Subarea3,32042
Subarea3,32044
Subarea3,32045
Subarea3,32046
Subarea3,32048
Subarea3,32333
Subarea3,32338
Subarea3,32340
Subarea3,32341
Subarea3,32342
Subarea3,32629
Subarea3,32633
Subarea3,32634
Subarea3,32635
Subarea3,32636
Subarea3,32927
Subarea3,32928
Subarea3,32929
Subarea3,32930
Subarea3,32931
Subarea3,32932
Subarea3,33218
Subarea3,33219
Subarea3,33222
Subarea3,33223
Subarea3,33224
Subarea3,33512
Subarea3,33513
Subarea3,33514
Subarea3,33516
Subarea3,33517
Subarea3,33518
Subarea3,33521
Subarea3,33809
Subarea3,33810
Subarea3,33811
Subarea3,33812
Subarea3,33813
Subarea3,33815
Subarea3,34104
Subarea3,34105
Subarea3,34107
Subarea3,34108
Subarea3,34402
Subarea3,34403
Subarea3,34985
Subarea3,34991
Subarea3,35280
Subarea3,35286
Subarea3,35574
Subarea3,35575
Subarea3,35582
Subarea3,35856
Subarea3,35867
Subarea3,35868
Subarea3,35869
Subarea3,35874
Subarea3,35876
