coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
89195	ForestDryPoor	3.49000000	347.95879748	0.00000000
89196	ForestDryPoor	1.84000000	360.73611165	0.00000000
89491	ForestDryPoor	3.25000000	580.84543840	0.00000000
89495	ForestDryPoor	1.15000000	315.14367411	5.00000000
89786	ForestDryPoor	3.77000000	402.15012859	0.00000000
89787	ForestDryPoor	1.52000000	224.74478098	0.00000000
90082	ForestDryPoor	1.28000000	105.87829852	0.00000000
94202	ForestDryPoor	1.27000000	272.12763072	0.00000000
94497	ForestDryPoor	2.46000000	500.65474391	0.00000000
94498	ForestDryPoor	1.11000000	271.24732366	6.00000000
94790	ForestDryPoor	2.93000000	538.12105098	0.00000000
94791	ForestDryPoor	3.70000000	567.32717876	0.00000000
94792	ForestDryPoor	3.09000000	661.85010074	0.00000000
94797	ForestDryPoor	1.05000000	330.73686052	0.00000000
95084	ForestDryPoor	1.22000000	342.40322204	0.00000000
95085	ForestDryPoor	3.76000000	1049.79186334	0.00000000
95086	ForestDryPoor	3.74000000	1030.87269768	0.00000000
95087	ForestDryPoor	3.43000000	981.21104326	4.00000000
95088	ForestDryPoor	1.58000000	544.26758884	15.00000000
95090	ForestDryPoor	3.58000000	1364.54628650	15.00000000
95091	ForestDryPoor	3.71000000	1180.70047302	0.00000000
95092	ForestDryPoor	3.49000000	1004.64099739	0.00000000
95093	ForestDryPoor	3.43000000	895.60865992	0.00000000
95380	ForestDryPoor	1.61000000	501.93995872	0.00000000
95381	ForestDryPoor	1.83000000	562.84061740	0.00000000
95382	ForestDryPoor	3.65000000	1218.98741558	0.00000000
95383	ForestDryPoor	2.71000000	960.44903261	18.00000000
95385	ForestDryPoor	1.37000000	524.58658508	21.00000000
95386	ForestDryPoor	3.69000000	1457.62792950	0.00000000
95387	ForestDryPoor	1.82000000	663.20055944	0.00000000
95388	ForestDryPoor	2.93000000	747.06819988	0.00000000
96266	ForestDryPoor	3.82000000	1222.42990205	0.00000000
96267	ForestDryPoor	3.80000000	1112.79760797	0.00000000
96268	ForestDryPoor	2.48000000	950.72354175	17.00000000
96561	ForestDryPoor	1.65000000	426.37265550	30.00000000
96562	ForestDryPoor	2.51000000	580.15374072	21.00000000
96885	ForestDryPoor	2.80000000	496.61084976	14.00000000
97152	ForestDryPoor	1.15000000	385.37691869	23.00000000
97153	ForestDryPoor	1.34000000	433.32279554	38.00000000
97180	ForestDryPoor	1.88000000	319.40037624	0.00000000
97457	ForestDryPoor	2.33000000	279.48660679	14.00000000
99222	ForestDryPoor	1.79000000	127.93202613	7.00000000
99223	ForestDryPoor	1.48000000	84.17787508	19.00000000
99517	ForestDryPoor	1.20000000	87.78954887	0.00000000
99518	ForestDryPoor	2.17000000	141.74337063	0.00000000
99519	ForestDryPoor	2.16000000	137.97817946	8.00000000
100095	ForestDryPoor	1.99000000	662.63092190	4.00000000
100688	ForestDryPoor	1.20000000	445.50068671	6.00000000
100984	ForestDryPoor	2.86000000	1119.76223139	43.00000000
100985	ForestDryPoor	1.05000000	409.42868987	0.00000000
128647	ForestDryPoor	1.05000000	130.59096519	0.00000000
5592	ForestDryRich	1.21000000	89.88506105	0.00000000
5593	ForestDryRich	2.00000000	158.76577835	0.00000000
5888	ForestDryRich	3.26000000	285.75316344	0.00000000
6183	ForestDryRich	3.45000000	328.69767159	0.00000000
6184	ForestDryRich	2.65000000	232.41366428	0.00000000
6478	ForestDryRich	2.84000000	268.83682308	0.00000000
6479	ForestDryRich	4.00000000	337.02375451	0.00000000
15023	ForestDryRich	1.56000000	155.50369252	0.00000000
19429	ForestDryRich	1.37000000	159.00660324	0.00000000
24992	ForestDryRich	1.82000000	159.78214985	0.00000000
24993	ForestDryRich	2.69000000	223.82790390	0.00000000
25287	ForestDryRich	1.81000000	165.33249735	0.00000000
25288	ForestDryRich	3.95000000	347.77926513	0.00000000
29707	ForestDryRich	1.33000000	172.63886839	0.00000000
30002	ForestDryRich	3.74000000	466.19854896	0.00000000
30297	ForestDryRich	2.88000000	309.11097699	0.00000000
30298	ForestDryRich	1.67000000	263.28096116	0.00000000
30592	ForestDryRich	2.52000000	307.44810232	0.00000000
30593	ForestDryRich	1.69000000	270.86123634	0.00000000
30859	ForestDryRich	1.03000000	136.59238998	0.00000000
30887	ForestDryRich	1.89000000	263.63084785	0.00000000
32088	ForestDryRich	1.51000000	359.00423470	0.00000000
41712	ForestDryRich	2.40000000	592.24785189	0.00000000
42003	ForestDryRich	1.56000000	344.76028625	0.00000000
42004	ForestDryRich	2.92000000	733.31803303	0.00000000
42005	ForestDryRich	3.16000000	832.23990680	0.00000000
42006	ForestDryRich	2.84000000	697.82683449	0.00000000
42007	ForestDryRich	2.71000000	599.83178695	0.00000000
42298	ForestDryRich	1.50000000	288.95037381	0.00000000
42299	ForestDryRich	2.10000000	502.81011941	0.00000000
42300	ForestDryRich	1.73000000	432.57243460	0.00000000
43213	ForestDryRich	2.48000000	786.24216208	0.00000000
72652	ForestDryRich	2.61000000	1112.81329988	0.00000000
73806	ForestDryRich	1.16000000	231.23340829	0.00000000
74724	ForestDryRich	1.75000000	686.99492910	0.00000000
75015	ForestDryRich	1.20000000	392.59729384	0.00000000
75019	ForestDryRich	2.09000000	934.12144698	0.00000000
75611	ForestDryRich	2.29000000	1032.67219619	0.00000000
85619	ForestDryRich	2.10000000	488.38052879	14.00000000
85912	ForestDryRich	2.80000000	474.59352947	58.00000000
86830	ForestDryRich	2.52000000	152.53898182	0.00000000
88026	ForestDryRich	1.77000000	458.49009085	12.00000000
90379	ForestDryRich	2.27000000	85.99818033	0.00000000
90383	ForestDryRich	2.63000000	193.02033148	0.00000000
90384	ForestDryRich	2.98000000	335.24794035	0.00000000
90385	ForestDryRich	3.42000000	479.79118509	0.00000000
90386	ForestDryRich	1.67000000	219.90227058	0.00000000
90674	ForestDryRich	3.63000000	127.74012035	0.00000000
90675	ForestDryRich	3.60000000	135.57358796	0.00000000
90676	ForestDryRich	2.78000000	109.38023364	0.00000000
90677	ForestDryRich	2.40000000	104.81189175	0.00000000
90678	ForestDryRich	2.78000000	102.19862740	0.00000000
90681	ForestDryRich	3.95000000	440.87999473	0.00000000
90976	ForestDryRich	3.70000000	316.18573092	0.00000000
91271	ForestDryRich	3.70000000	172.91252448	0.00000000
91566	ForestDryRich	3.41000000	86.97687660	0.00000000
91861	ForestDryRich	3.34000000	214.27785602	0.00000000
92156	ForestDryRich	3.24000000	378.19288932	0.00000000
92157	ForestDryRich	1.28000000	181.62293606	0.00000000
92451	ForestDryRich	2.04000000	268.39388370	0.00000000
