reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
4,59,59,35351,30000200,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
2,60,60,24261,40214000,HabitatDirective,2140,Klithede,Decalcified fixed dunes with Empetrum nigrum,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,,Native,NA,Both,
12,61,61,347946,50996303,,,"Vejmidte, Anden vej, ND","Road centreline, Other road, ND","141000 Vej, befæsted","141000 Road, paved",Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,62,62,2014393,50990110,,,"Teknisk areal, Sportsanlæg","Technical area, Sports ground",130000 Rekreativt område / sportsanlæg,130000 Recreation area / sports ground,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,63,63,356511,20320400,TBD,TBD,"Slette, Overdrev (Slette)",Plain,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Include,DryBoth,OpenDryBoth,Open dry,Open,Open,Dry,Dry,Both,Both,,Native,NA,Both,Expected to be biological grasslands (overdrev). But unclear from the description. Could be considered excluded. 
12,64,64,471750,50995500,,,Høj bebyggelse,High built up,122000 Høj bebyggelse,122000 High built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,65,65,192753,50995500,,,Høj bebyggelse,High built up,122000 Høj bebyggelse,122000 High built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,66,66,8179,50995300,,,Erhverv,Buisness,125000 Erhverv,125000 Industry / business,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,67,67,229201,50997800,,,Begravelsesområde,Burial ground,130000 Rekreativt område / sportsanlæg,130000 Recreation area / sports ground,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,68,68,38976,50990110,,,"Teknisk areal, Sportsanlæg","Technical area, Sports ground",130000 Rekreativt område / sportsanlæg,130000 Recreation area / sports ground,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,69,69,5753,50990106,,,"Teknisk areal, Togstation/rangÃ©ranlæg","Technical area, Train station/rail area",150000 Jernbane,150000 Railway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
